9543b4d9cebca4c215ae86db40d17db7d63e46fa06d8e6105cc70f05d4ccc24a,0a7d2f617f14805ab1bf53788cb113b8c1cc5780d48d6a3768824d7e9226202b,f5a37be1d03ae303d4967b3cde4a155eaf3eb8ed9e1a7b4dfacd11b5a4ff5701,dd5a556a8030e03a05fb8631d8d31f467a54bcfdf55cf4a76c066268e64f0e9d,e741cbe2fe59347759f4924f8d38544c612ab68bbe25885792d1cfb6d450a2ad
"提升物理防禦力（不可降低）","201","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409010","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","202","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409010","boss_magic_def_lower_limit"
"賦予TP上升的上限","203","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409010","17"
"降低HP吸收","204","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409010","9"
"闇屬性獎勵特大幅度提升","205","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409020","16"
"提升物理防禦力（不可降低）","206","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409020","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","207","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409020","boss_magic_def_lower_limit"
"賦予TP上升的上限","208","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409020","17"
"降低HP吸收","209","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409020","9"
"闇屬性獎勵特大幅度提升","210","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409030","16"
"提升物理防禦力（不可降低）","211","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409030","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","212","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409030","boss_magic_def_lower_limit"
"賦予TP上升的上限","213","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409030","17"
"降低HP吸收","214","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409030","9"
"闇屬性獎勵特大幅度提升","215","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409110","16"
"提升物理防禦力（不可降低）","216","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409110","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","217","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409110","boss_magic_def_lower_limit"
"減少降低TP","218","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409110","boss_tp_down_cut"
"傷害值衰減","219","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409110","18"
"賦予TP上升的上限","220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409110","17"
"降低HP吸收","221","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409110","9"
"闇屬性獎勵特大幅度提升","222","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409120","16"
"提升物理防禦力（不可降低）","223","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409120","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","224","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409120","boss_magic_def_lower_limit"
"減少降低TP","225","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409120","boss_tp_down_cut"
"傷害值衰減","226","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409120","18"
"賦予TP上升的上限","227","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409120","17"
"降低HP吸收","228","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409120","9"
"闇屬性獎勵特大幅度提升","229","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409130","16"
"提升物理防禦力（不可降低）","230","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409130","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","231","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409130","boss_magic_def_lower_limit"
"減少降低TP","232","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409130","boss_tp_down_cut"
"傷害值衰減","233","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409130","18"
"賦予TP上升的上限","234","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409130","17"
"降低HP吸收","235","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409130","9"
"闇屬性獎勵特大幅度提升","236","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409140","16"
"提升物理防禦力（不可降低）","237","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409140","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","238","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409140","boss_magic_def_lower_limit"
"減少降低TP","239","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409140","boss_tp_down_cut"
"傷害值衰減","240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409140","18"
"賦予TP上升的上限","241","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409140","17"
"降低HP吸收","242","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409140","9"
"闇屬性獎勵特大幅度提升","243","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409210","16"
"提升物理防禦力（不可降低）","244","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409210","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","245","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409210","boss_magic_def_lower_limit"
"減少降低TP","246","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409210","boss_tp_down_cut"
"傷害值衰減","247","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409210","18"
"賦予TP上升的上限","248","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409210","17"
"降低HP吸收","249","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409210","9"
"闇屬性獎勵特大幅度提升","250","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409220","16"
"提升物理防禦力（不可降低）","251","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409220","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","252","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409220","boss_magic_def_lower_limit"
"減少降低TP","253","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409220","boss_tp_down_cut"
"傷害值衰減","254","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409220","18"
"賦予TP上升的上限","255","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409220","17"
"降低HP吸收","256","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409220","9"
"闇屬性獎勵特大幅度提升","257","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409230","16"
"提升物理防禦力（不可降低）","258","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409230","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","259","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409230","boss_magic_def_lower_limit"
"減少降低TP","260","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409230","boss_tp_down_cut"
"傷害值衰減","261","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409230","18"
"賦予TP上升的上限","262","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409230","17"
"降低HP吸收","263","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409230","9"
"闇屬性獎勵特大幅度提升","264","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409240","16"
"提升物理防禦力（不可降低）","265","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409240","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","266","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409240","boss_magic_def_lower_limit"
"減少降低TP","267","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409240","boss_tp_down_cut"
"傷害值衰減","268","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409240","18"
"賦予TP上升的上限","269","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409240","17"
"降低HP吸收","270","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409240","9"
"闇屬性獎勵特大幅度提升","271","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409310","16"
"提升物理防禦力（不可降低）","272","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409310","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","273","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409310","boss_magic_def_lower_limit"
"傷害值衰減","274","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409310","18"
"賦予TP上升的上限","275","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409310","17"
"降低HP吸收","276","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409310","9"
"闇屬性獎勵特大幅度提升","277","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409320","16"
"提升物理防禦力（不可降低）","278","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409320","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","279","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409320","boss_magic_def_lower_limit"
"傷害值衰減","280","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409320","18"
"賦予TP上升的上限","281","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409320","17"
"降低HP吸收","282","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409320","9"
"闇屬性獎勵特大幅度提升","283","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409330","16"
"提升物理防禦力（不可降低）","284","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409330","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","285","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409330","boss_magic_def_lower_limit"
"傷害值衰減","286","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409330","18"
"賦予TP上升的上限","287","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409330","17"
"降低HP吸收","288","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409330","9"
"闇屬性獎勵特大幅度提升","289","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409340","16"
"提升物理防禦力（不可降低）","290","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409340","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","291","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409340","boss_magic_def_lower_limit"
"傷害值衰減","292","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409340","18"
"賦予TP上升的上限","293","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409340","17"
"降低HP吸收","294","戰鬥開始時，中幅度降低全體角色的HP吸收。","92409340","9"
"光屬性獎勵特大幅度提升","295","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410010","15"
"提升物理防禦力（不可降低）","296","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410010","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","297","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410010","boss_magic_def_lower_limit"
"賦予TP上升的上限","298","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410010","17"
"降低HP吸收","299","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410010","9"
"光屬性獎勵特大幅度提升","300","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410020","15"
"提升物理防禦力（不可降低）","301","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410020","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","302","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410020","boss_magic_def_lower_limit"
"賦予TP上升的上限","303","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410020","17"
"降低HP吸收","304","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410020","9"
"光屬性獎勵特大幅度提升","305","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410030","15"
"提升物理防禦力（不可降低）","306","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410030","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","307","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410030","boss_magic_def_lower_limit"
"賦予TP上升的上限","308","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410030","17"
"降低HP吸收","309","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410030","9"
"光屬性獎勵特大幅度提升","310","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410110","15"
"提升物理防禦力（不可降低）","311","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410110","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","312","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410110","boss_magic_def_lower_limit"
"減少降低TP","313","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410110","boss_tp_down_cut"
"傷害值衰減","314","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410110","18"
"賦予TP上升的上限","315","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410110","17"
"降低HP吸收","316","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410110","9"
"光屬性獎勵特大幅度提升","317","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410120","15"
"提升物理防禦力（不可降低）","318","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410120","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","319","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410120","boss_magic_def_lower_limit"
"減少降低TP","320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410120","boss_tp_down_cut"
"傷害值衰減","321","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410120","18"
"賦予TP上升的上限","322","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410120","17"
"降低HP吸收","323","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410120","9"
"光屬性獎勵特大幅度提升","324","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410130","15"
"提升物理防禦力（不可降低）","325","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410130","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","326","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410130","boss_magic_def_lower_limit"
"減少降低TP","327","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410130","boss_tp_down_cut"
"傷害值衰減","328","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410130","18"
"賦予TP上升的上限","329","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410130","17"
"降低HP吸收","330","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410130","9"
"光屬性獎勵特大幅度提升","331","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410140","15"
"提升物理防禦力（不可降低）","332","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410140","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","333","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410140","boss_magic_def_lower_limit"
"減少降低TP","334","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410140","boss_tp_down_cut"
"傷害值衰減","335","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410140","18"
"賦予TP上升的上限","336","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410140","17"
"降低HP吸收","337","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410140","9"
"光屬性獎勵特大幅度提升","338","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410210","15"
"提升物理防禦力（不可降低）","339","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410210","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","340","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410210","boss_magic_def_lower_limit"
"減少降低TP","341","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410210","boss_tp_down_cut"
"傷害值衰減","342","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410210","18"
"賦予TP上升的上限","343","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410210","17"
"降低HP吸收","344","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410210","9"
"光屬性獎勵特大幅度提升","345","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410220","15"
"提升物理防禦力（不可降低）","346","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410220","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","347","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410220","boss_magic_def_lower_limit"
"減少降低TP","348","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410220","boss_tp_down_cut"
"傷害值衰減","349","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410220","18"
"賦予TP上升的上限","350","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410220","17"
"降低HP吸收","351","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410220","9"
"光屬性獎勵特大幅度提升","352","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410230","15"
"提升物理防禦力（不可降低）","353","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410230","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","354","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410230","boss_magic_def_lower_limit"
"減少降低TP","355","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410230","boss_tp_down_cut"
"傷害值衰減","356","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410230","18"
"賦予TP上升的上限","357","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410230","17"
"降低HP吸收","358","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410230","9"
"光屬性獎勵特大幅度提升","359","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410240","15"
"提升物理防禦力（不可降低）","360","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410240","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","361","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410240","boss_magic_def_lower_limit"
"減少降低TP","362","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410240","boss_tp_down_cut"
"傷害值衰減","363","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410240","18"
"賦予TP上升的上限","364","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410240","17"
"降低HP吸收","365","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410240","9"
"光屬性獎勵特大幅度提升","366","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410310","15"
"提升物理防禦力（不可降低）","367","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410310","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","368","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410310","boss_magic_def_lower_limit"
"減少降低TP","369","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410310","boss_tp_down_cut"
"傷害值衰減","370","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410310","18"
"賦予TP上升的上限","371","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410310","17"
"降低HP吸收","372","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410310","9"
"光屬性獎勵特大幅度提升","373","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410320","15"
"提升物理防禦力（不可降低）","374","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410320","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","375","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410320","boss_magic_def_lower_limit"
"減少降低TP","376","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410320","boss_tp_down_cut"
"傷害值衰減","377","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410320","18"
"賦予TP上升的上限","378","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410320","17"
"降低HP吸收","379","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410320","9"
"光屬性獎勵特大幅度提升","380","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410330","15"
"提升物理防禦力（不可降低）","381","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410330","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","382","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410330","boss_magic_def_lower_limit"
"減少降低TP","383","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410330","boss_tp_down_cut"
"傷害值衰減","384","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410330","18"
"賦予TP上升的上限","385","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410330","17"
"降低HP吸收","386","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410330","9"
"光屬性獎勵特大幅度提升","387","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410340","15"
"提升物理防禦力（不可降低）","388","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410340","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","389","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410340","boss_magic_def_lower_limit"
"減少降低TP","390","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410340","boss_tp_down_cut"
"傷害值衰減","391","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410340","18"
"賦予TP上升的上限","392","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410340","17"
"降低HP吸收","393","戰鬥開始時，中幅度降低全體角色的HP吸收。","92410340","9"
"火屬性獎勵特大幅度提升","394","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411010","12"
"提升物理防禦力（不可降低）","395","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411010","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","396","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411010","boss_magic_def_lower_limit"
"賦予TP上升的上限","397","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411010","17"
"降低HP吸收","398","戰鬥開始時，中幅度降低全體角色的HP吸收。","92411010","9"
"火屬性獎勵特大幅度提升","399","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411020","12"
"提升物理防禦力（不可降低）","400","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411020","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","401","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411020","boss_magic_def_lower_limit"
"賦予TP上升的上限","402","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411020","17"
"降低HP吸收","403","戰鬥開始時，中幅度降低全體角色的HP吸收。","92411020","9"
"火屬性獎勵特大幅度提升","404","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411030","12"
