4bb6640967267c2c5c556e8965d87557d67e57ffc658847119f453f1594b5692,07fe9ac7b1666281603cdba40c7970cb73e1f1be2d869862f3f6d3300da79705,4d3ab3345d16a103986f8e3ab52ebc97a44405c84ac7b48be3b316d446f219a6,dec0a7f131e6c9c4ff945ad6a635ad8193b153f2a40dd6fce11c5b4005db67ca,0eb0d17cf6f58273186e33e5617c48949a9d64196b89e205f48bd80f497657e0,753e8cc5984f30c3bc738f013df2e9ecba59a6faf01bf59af244db9a82e11363,52a80bae11dcbc5ded79baaa548501813acfaa3e237b935ace204db30b5b69bc,b1f2fb2cdf08c93b3de759f3c404511661f98dea9c181c7538173166bd35d680,fe04acf0298b8d8914017326f36d1f8fc38c79b189145bc4b00d34e2f851bd62,3181e540be620273e560659e91a05c5d417d96cbb05299055d35f1dfa676acd8,f794c3592b78011f3eb373bd396f0b23b4aa0b26604109a703e05c512ab7573e
"102831","1360002","10","10","36","03_uek_cmn_idol_def_N","1","0","1","100","1.3"
"","1360003","","","36","","1","","93","",""
"03_uek_36_suzume","1360004","1","03_uek_36_suzume_loop","36","","102531","0","3","0","0"
"03_uek_36_saren","1360005","1","03_uek_36_saren_loop","36","","102831","0","3","0","0"
"","1360006","","","36","","0","","91","",""
"呀！？要要要、\n要掉下去了～！\n大小姐～！！？？","1360007","0","0","36","","102531","","11","10",""
"","1360008","","","36","","0","","91","",""
"鈴莓，妳沒事吧！？\n這裡很高的，\n妳要小心哦。","1360009","0","0","36","","102831","","11","10",""
"112531","1370001","-22","-118","37","01_uek_cmn_idol_def_N","1","0","1","100","1.3"
"112431","1370002","0","0","37","01_uek_cmn_idol_def_N","1","0","1","100","1.3"
"112631","1370003","0","179","37","01_uek_27_tamaki_loop","1","1","1","100","1.3"
"01_uek_27_tamaki_loop","1370004","0","","37","","112631","","3","0",""
"","1370005","","","37","","0","","91","",""
"01_uek_27_tamaki_loop","1370006","0","","37","","112631","","3","0",""
"","1370007","","","37","","0","","91","",""
"01_uek_27_tamaki_loop","1370008","0","","37","","112631","","3","0",""
"","1370009","","","37","","0","","91","",""
"01_uek_cmn_pose06","1370010","0","","37","","112631","","3","1","0.5"
"啊！島村村、\n澀凜凜，妳們快看！\n星星好漂亮喔！","1370011","0","0","37","","112631","","11","10",""
"","1370012","","","37","","0","","91","",""
"01_uek_35_rei","1370013","1","01_uek_35_rei_loop","37","","112531","","3","0",""
"……成為頂尖偶像時\n所能夠見到的光景\n就是這種感覺嗎？","1370014","0","0","37","","112531","","11","10",""
"","1370015","","","37","","0","","91","",""
"01_uek_cmn_idol_def_N","1370016","0","","37","","112631","","3","1","0.2"
"01_uek_37_uduki","1370017","1","01_uek_16_uduki_loop","37","","112431","","3","0",""
"希望我們也能夠\n像那些星星一樣\n閃閃發光呢！","1370018","0","0","37","","112431","","11","10",""
"","1370019","","","37","","0","","91","",""
"14","11010001","1","30","101","","101","","31","0","1"
"11","11110001","1","150","111","","111","","31","0","1"
"12","11120001","1","150","112","","112","","31","0","1"
"13","11130001","1","125","113","","113","","31","0","1"
