ddad479bd8e65ca82549d62346cda6c38f394a0d4a8b7e14e9c4316e31a7daa9,ca80dac688c4a663e34527c4d1c274bf593938d4cf8bc21116120bb130275b3e,27c9c56ebfa15f444d8ccad2bb2a6bf4717e592a801fdf5277510276366dce56,c6993bbd008f5db1fe11d0c76c3e15fc4b575d75ba7b14905d7b77ee109975ef,1b7e07020e2ffc5998b90d10dccc703de31342fb4b1bd869b14f03ce2cf9e8d2,176e6c04071ba507a33f24a79e043c60b8bce289a3df9f310bf72ef04766ff14,cfca4981b11697c776fa0040cd512fb2b83f79a23bd7787a0671fc386162687b,f6c8d8d6da52612d762aa95dfaabf4dda823bdd1bf799e2b1aa1d5ba6e4d1efd,842206f2eee53fb44d0b1dc6408c98f865f9f5d4505d777037885960451d71cf,2df8bcad191e0bf3ae61abe36639cbe174ac714d08bb818811a4beea2b0f10c1,bc9cf5bce345e68984048189b913330ae7dd7180c5c7e81c7ff3ce925ce92764,224d9a88f49312cddfd177872af36a811370567f1f3ce0da8e4e5ed64b6d0cbf
"0","4","1009814","1","0.8","0","100981401","0","0","1","0","0"
"0","2","1009814","0","0","0","100981402","0","0","2","vo_lsv_1401","vo_lsv"
"1","1","1009814","0","0","84","100981403","0.677","0","3","0","0"
"0","4","1009814","1","0.7","0","100981404","0","0","4","0","0"
"1","1","1009814","0","0","300","100981405","1.677","84","5","0","0"
"0","4","1009814","1","3.5","0","100981406","0","0","6","0","0"
"0","2","1009814","0","0","0","100981407","0","0","7","vo_lsv_1402","vo_lsv"
"3","1","1009814","0","0","300","100981408","1.099","0","8","0","0"
"0","4","1009814","1","1.13","0","100981409","0","0","9","0","0"
"4","1","1009814","0","0","158","100981410","1.234","0","10","0","0"
"0","4","1009814","1","2.2","0","100981411","0","0","11","0","0"
"0","2","1009814","0","0","0","100981412","0","0","12","vo_lsv_1403","vo_lsv"
"4","1","1009814","0","0","300","100981413","1.37","158","13","0","0"
"0","4","1009814","1","2.5","0","100981414","0","0","14","0","0"
"0","2","1009814","0","0","0","100981415","0","0","15","vo_lsv_1404","vo_lsv"
"6","1","1009814","0","0","300","100981416","1","0","16","0","0"
"0","4","1009814","1","1.3","0","100981417","0","0","17","0","0"
"7","1","1009814","0","0","350","100981418","1.661","0","18","0","0"
"0","4","1009814","1","1.7","0","100981419","0","0","19","0","0"
"8","1","1009814","0","0","180","100981420","1.344","0","20","0","0"
"0","4","1009814","1","2.5","0","100981421","0","0","21","0","0"
"0","2","1009814","0","0","0","100981422","0","0","22","vo_lsv_1405","vo_lsv"
"10","1","1009814","0","0","80","100981423","0.82","0","23","0","0"
"0","4","1009814","1","1.4","0","100981424","0","0","24","0","0"
"10","1","1009814","0","0","300","100981425","1.83","80","25","0","0"
"0","4","1009815","1","0.8","0","100981501","0","0","1","0","0"
"0","2","1009815","0","0","0","100981502","0","0","2","vo_lsv_1501","vo_lsv"
"1","1","1009815","0","0","300","100981503","2.384","0","3","0","0"
"0","4","1009815","1","2.41","0","100981504","0","0","4","0","0"
"2","1","1009815","0","0","250","100981505","1","0","5","0","0"
"0","4","1009815","1","2","0","100981506","0","0","6","0","0"
"0","2","1009815","0","0","0","100981507","0","0","7","vo_lsv_1502","vo_lsv"
"3","1","1009815","0","0","300","100981508","1.71","0","8","0","0"
"0","4","1009815","1","2","0","100981509","0","0","9","0","0"
"4","1","1009815","0","0","300","100981510","1.369","0","10","0","0"
"0","4","1009815","1","1.39","0","100981511","0","0","11","0","0"
"5","1","1009815","0","0","327","100981512","2.431","0","12","0","0"
"0","4","1009815","1","2.432","0","100981513","0","0","13","0","0"
"6","1","1009815","0","0","327","100981514","1.164","0","14","0","0"
"0","4","1009815","1","2.5","0","100981515","0","0","15","0","0"
"0","2","1009815","0","0","0","100981516","0","0","16","vo_lsv_1503","vo_lsv"
"7","1","1009815","0","0","327","100981517","3.101","0","17","0","0"
"0","4","1009815","1","4.5","0","100981518","0","0","18","0","0"
"0","2","1009815","0","0","0","100981519","0","0","19","vo_lsv_1504","vo_lsv"
"8","1","1009815","0","0","327","100981520","2.454","0","20","0","0"
"0","4","1009815","1","2.484","0","100981521","0","0","21","0","0"
"9","1","1009815","0","0","300","100981522","0.727","0","22","0","0"
"0","4","1009815","1","2","0","100981523","0","0","23","0","0"
"0","2","1009815","0","0","0","100981524","0","0","24","vo_lsv_1505","vo_lsv"
"10","1","1009815","0","0","300","100981525","1.984","0","25","0","0"
"0","4","1009815","1","3","0","100981526","0","0","26","0","0"
"0","2","1009815","0","0","0","100981527","0","0","27","vo_lsv_1506","vo_lsv"
"12","1","1009815","0","0","327","100981528","2.1","0","28","0","0"
