5f66171b5f44a8cbbbd8d249d32fc858f6b347f3511042dc7441f50b94dee83a,5ce8d0af4bb700ad3e306e3b53f383f899f46b8b3c76498fe0e055630e5090ea,4aa9a67a28f8e012c7b8cc38f791a752cf0f96dae33b455d0632ba7664511093,2ccc726e34e3ac24419471d33f07e226df867d2e83732e1d34056c8d96499f2f,fb762ba1de2bc179f1a145fbf547da9dd2f17630d27a4617e61ae4dc1b3569f6,24a3c737f10462cb549aa0c012e6ac4a55d55bcd2d76f2eba9b2f2295944f4f9,9441ba3e824a02afe3467ed415b9f4e1fe59747c6f6d9e528c7ff1c008eb84e7
"2:00","主線冒險\n\n時間 / 02:00\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","0:00","密林暗處潛伏者","bgm_M339_juke","bgm_M339","124"
"1:52","角色歌曲\n\n時間 / 01:52\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n　　　優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n　　　雪菲（近藤玲奈）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 東大路憲太","1:09","Mirage Game","bgm_M370","bgm_M370","125"
"1:48","角色歌曲\n\n時間 / 01:48\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 高尾奏之介（F.M.F）\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","0:52","Yes！ Precious Harmony！","bgm_M371","bgm_M371","126"
"0:45","小遊戲\n-｢Heartful Place｣編曲-\n\n時間 / 00:45\n作曲 / 小野貴光\n編曲 / 澤下葵","0:00","啾啾大恐慌！　保衛起司大作戰！","bgm_M355_Lofi_juke","bgm_M355_Lofi","127"
"1:00","故事劇情主題曲\n-｢Heartful Place｣編曲-\n\n時間 / 01:00\n作曲 / 小野貴光\n編曲 / 淺田美咲（Cygames）","0:00","牧場的四農士　貧窮農場奮鬥記！","bgm_M351_juke","bgm_M351","128"
"1:56","故事劇情Boss戰\n\n時間 / 01:56\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","0:00","忍者首領半藏","bgm_M354_juke","bgm_M354","129"
"1:19","角色歌曲\n\n時間 / 01:19\n演唱　 / 真陽（新田恵海）\n　　　鈴（小岩井ことり）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","0:46","Heartful Place","bgm_M379","bgm_M379","130"
"0:52","故事劇情主題曲\n-｢童話故事就在夢中｣編曲-\n\n時間 / 00:52\n作曲 / 篠崎あやと\n編曲 / 東大路憲太","0:00","不可思議之國的璃乃 小小愛麗絲與希望的繪本","bgm_M375_juke","bgm_M375","131"
"1:21","故事劇情BOSS戰\n\n時間 / 01:21\n作曲 / 田山里奈\n編曲 / 田山里奈","0:00","暗黑之王賈巴沃克","bgm_M378_juke","bgm_M378","132"
"1:29","角色歌曲\n\n時間 / 01:29\n演唱　 / 璃乃（阿澄佳奈）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと","0:51","童話故事就在夢中","bgm_M389","bgm_M389","133"
"1:04","主線冒險\n\n時間 / 01:04\n作曲 / 澤下葵\n編曲 / 澤下葵","0:00","幽靜森林","bgm_M374_juke","bgm_M374","134"
"1:08","故事劇情主題曲\n-｢黃昏太平旅路歌｣編曲-\n\n時間 / 01:08\n作曲 / 渡部チェル\n編曲 / 中村早織(Cygames)","0:00","七夕劍客旅情譚 天際川流夏之戀","bgm_M380A_juke","bgm_M380A","135"
"3:16","故事劇情BOSS戰\n\n時間 / 03:16\n作曲 / 千葉梓(Cygames)\n編曲 / 千葉梓(Cygames)","0:00","覺醒‧花心星","bgm_M384_juke","bgm_M384","136"
"1:27","角色歌曲\n\n時間 / 01:27\n演唱　 / 流夏（佐藤利奈）\n作詞 / 絵伊子、野村イクミ（Cygames）\n作曲 / 渡部チェル\n編曲 / 渡部チェル","0:49","黃昏太平旅路之歌","bgm_M402","bgm_M402","137"
"0:55","故事劇情主題曲\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 00:55\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 江原大介","0:00","美里的夏日聲援！　追夢的盛夏棒球隊","bgm_M393_juke","bgm_M393","138"
"2:25","故事劇情BOSS戰\n\n時間 / 02:25\n作曲 / 松尾早人\n編曲 / 松尾早人","0:00","海岸暴君‧鮫吉","bgm_M397_juke","bgm_M397","139"
"1:15","小遊戲\\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 01:15\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 長谷部翔(Cygames)","0:00","猛訓打擊道！　美里的全壘打訓練場","bgm_M399_juke","bgm_M399","140"
"1:25","小遊戲\n-｢Lost Princess｣Arrange-\n\n時間 / 01:25\n作曲 / 田中公平\n編曲 / 江原大介","0:00","目標全壘打！","bgm_M400_juke","bgm_M400","141"
"1:05","小遊戲\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 01:05\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 中川峻彰","0:00","夏天的回憶","bgm_M401_juke","bgm_M401","142"
"1:26","角色歌曲\n\n時間 / 01:26\n演唱　 / 美里（國府田マリ子）\n作詞 / Manami（TRYTONELABO）\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 瀧澤俊輔（TRYTONELABO）","0:55","那個夏天的記憶","bgm_M412","bgm_M412","143"
"1:05","主線冒險\n\n時間 / 01:05\n作曲 / 淺田美咲(Cygames)\n編曲 / 淺田美咲(Cygames)","0:00","清澈的河水聲","bgm_M392_juke","bgm_M392","144"
"0:55","故事劇情主題曲\n-｢吶吶Please！｣Arrange-\n\n時間 / 00:55\n作曲 / 山崎真吾\n編曲 / 田山里奈","0:00","Happy‧Change‧Angels","bgm_M403_juke","bgm_M403","145"
"2:20","故事劇情BOSS戰\n\n時間 / 02:20\n作曲 / 千葉梓(Cygames)\n編曲 / 千葉梓(Cygames)","0:00","失控的純潔之弓","bgm_M406_juke","bgm_M406","146"
"1:18","角色歌曲\n\n時間 / 01:18\n演唱　 /依里（原紗友里）\n　　　茜里（浅倉杏美）\n作詞 / 坂井竜二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","0:50","吶吶Please！","bgm_M420","bgm_M420","147"
"0:55","故事劇情主題曲\n-「Paradox」編曲-\n\n時間 / 00:55\n作曲 / 出口遼\n編曲 / 多田彰文","0:00","迴盪的尖叫！萬聖鬼怪狂歡節","bgm_M413_juke","bgm_M413","148"
"2:40","故事劇情頭目戰\n\n時間 / 02:40\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","0:00","驚叫鬼魂教父","bgm_M416_juke","bgm_M416","149"
"1:35","角色歌曲\n\n時間 / 01:35\n演唱　 / 怜（早見沙織）\n　　　紡希（木戸衣吹）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太、出口遼","0:48","Paradox","bgm_M425","bgm_M425","150"
"1:30","故事劇情主題曲\n-｢閃耀吧！Lovely★Dreamy｣編曲-\n\n時間 / 01:30\n作曲 / 睦月周平\n編曲 / 多田彰文","0:00","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","bgm_M421_juke","bgm_M421","151"
"2:35","故事劇情頭目戰\n\n時間 / 02:35\n作曲 / 松尾早人\n編曲 / 松尾早人","0:00","反逆獸 de M","bgm_M424_juke","bgm_M424","152"
"1:27","角色歌曲\n\n時間 / 01:27\n演唱　/ 莫妮卡（辻あゆみ）\n　　　智（茅原実里）\n作詞 / ミズノゲンキ\n作曲 / 睦月周平\n編曲 / 睦月周平","0:49","閃耀吧！Lovely★Dreamy","bgm_M439","bgm_M439","153"
"1:35","主線冒險\n\n時間 / 01:35\n作曲 / 関根修平（Cygames）\n編曲 / 加藤慶久（Cygames）","0:00","跨越斷崖　前進山麓","bgm_M411_juke","bgm_M411","154"
"1:20","故事劇情主題曲\n-｢Holy Passion Roses｣編曲-\n\n時間 / 01:20\n作曲 / 小野貴光\n編曲 / 田山里奈","0:00","名媛初登夢想秘境　聖誕夜的戀愛遊戲","bgm_M426_juke","bgm_M426","155"
"2:30","故事劇情Boss戰\n\n時間 / 02:30\n作曲 / 中川峻彰\n編曲 / 中川峻彰","0:00","被操控的雪人","bgm_M429_juke","bgm_M429","156"
"1:31","角色歌曲\n\n時間 / 01:31\n演唱　 / 咲戀（堀江由衣）\n　　　秋乃（松嵜麗）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","0:59","Holy Passion Roses","bgm_M440","bgm_M440","157"
"1:06","故事劇情主題曲\n-｢Brand New Sunrise｣編曲-\n\n時間 / 01:06\n作曲 / 池田健仁（Cygames）\n編曲 / 多田彰文","0:00","新春美食家公主！　賭上關鍵一擲的少女們","bgm_M435_juke","bgm_M435","158"
"2:34","故事劇情Boss戰\n\n時間 / 02:34\n作曲 / 中村博\n編曲 / 中村博","0:00","究極金槍鮪","bgm_M438_juke","bgm_M438","159"
"1:27","角色歌曲\n\n時間 / 01:27\n演唱　 / 矛依未（潘めぐみ）\n　　　似似花（井口裕香）\n作詞 / 野村イクミ（Cygames）\n作曲 / 池田健仁（Cygames）\n編曲 / 池田健仁（Cygames）","0:55","Brand New Sunrise","bgm_M441","bgm_M441","160"
"1:16","故事劇情主題曲\n-｢心的思念 ～心的思念～｣編曲-\n\n時間 / 01:16\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 長谷部翔（Cygames）","0:00","無比珍貴的日常","bgm_M442A_juke","bgm_M442A","161"
"1:16","故事劇情主題曲\n-｢心的思念 ～心的思念～｣編曲-\n\n時間 / 01:16\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 長谷部翔（Cygames）","0:00","離別與決意","bgm_M442B_juke","bgm_M442B","162"
"2:26","故事劇情頭目戰\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","黑風之精靈","bgm_M447_juke","bgm_M447","163"
"1:25","角色歌曲\n\n時間 / 01:25\n演唱　 / 可可蘿（伊藤美来）\n作詞 / 亀井博之\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 内海孝彰（TRYTONELABO）","0:52","心的思念 ～心的思念～","bgm_M456","bgm_M456","164"
"0:58","故事劇情主題曲\n-｢戀愛閃亮魔法☆彡｣編曲-\n\n時間 / 00:58\n作曲 / 青柳諒、内田ましろ\n編曲 / 関根修平（Cygames）","0:00","灰姑娘課程　璀璨的日子有著蘋果的滋味","bgm_M451_juke","bgm_M451","165"
"1:47","故事劇情Boss戰\n\n時間 / 01:47\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","0:00","魔物的公主","bgm_M455_juke","bgm_M455","166"
"1:29","角色歌曲\n\n時間 / 01:29\n歌　 / 莉瑪（徳井青空）\n作詞 / 青柳諒、内田ましろ\n作曲 / 青柳諒、内田ましろ\n編曲 / 青柳諒","0:49","戀愛閃亮魔法☆彡","bgm_M465","bgm_M465","167"
"1:01","故事劇情主題曲\n-｢無敵DREAMING｣編曲-\n\n時間 / 01:01\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 澤下葵","0:00","鋼鐵聖女與神聖學院的問題兒童","bgm_M457_juke","bgm_M457","168"
"2:05","故事劇情Boss戰\n\n時間 / 02:05\n作曲 / 中村博\n編曲 / 中村博","0:00","無名的藝術","bgm_M461_juke","bgm_M461","169"
"1:32","角色歌曲\n\n時間 / 01:32\n歌　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種崎敦美）\n　　　優妮（小原好美）\n作詞 / しらゆき美優\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 白戸佑輔（Dream Monster）\n　　　佐藤厚仁（Dream Monster）","0:56","無敵DREAMING","bgm_M466","bgm_M466","170"
"1:10","故事劇情主題曲\n-｢Seize The Day！｣編曲-\n\n時間 / 01:10\n作曲 / 本多友紀（Arte Refact）\n編曲 / 中川峻彰","0:00","祈梨ＳＯＳ！！　踏上時空旅行的龍人族","bgm_M467_juke","bgm_M467","171"
"2:12","故事劇情Boss戰\n\n時間 / 02:12\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","0:00","爆裂‧時間儀","bgm_M470_juke","bgm_M470","172"
"1:34","角色歌曲\n\n時間 / 01:34\n演唱　 / 嘉夜（小市眞琴）\n　　　帆稀（大西沙織）\n　　　祈梨（藤田茜）\n作詞 / 野村イクミ（Cygames）\n作曲 / 本多友紀（Arte Refact）\n編曲 / 河合泰志（Arte Refact）","0:52","Seize The Day！","bgm_M485","bgm_M485","173"
"1:46","故事劇情主題曲\n-｢邊緣人的朋友進行曲｣編曲-\n\n時間 / 01:46\n作曲 / 山本真央樹（TRYTONELABO）\n編曲 / 下智子","0:00","心電感應！碧與玩具朋友們","bgm_M478_Lofi_juke","bgm_M478","174"
"2:35","故事劇情Boss戰\n\n時間 / 02:35\n作曲 / 多田彰文\n編曲 / 多田彰文","0:00","究極機械玩具王","bgm_M481_juke","bgm_M481","175"
"1:34","角色歌曲\n\n時間 / 01:34\n演唱　 / 碧（花澤香菜）\n作詞 / 山本真央樹（TRYTONELABO）\n作曲 / 山本真央樹（TRYTONELABO）\n編曲 / 山本真央樹（TRYTONELABO）","1:01","邊緣人的朋友進行曲","bgm_M494","bgm_M494","176"
"1:07","主線冒險\n\n時間 / 01:07\n作曲 / 中村博\n編曲 / 中村博","0:00","於飛舞的沙塵之中","bgm_M483_E46_juke","bgm_M483","177"
"1:57","故事劇情主題曲\n-「Only Only You」編曲-\n\n時間 / 01:57\n作曲 / ARM（IOSYS）\n編曲 / 下智子","0:00","永不完結的夏日計畫　盛夏的雙人獨佔樂園","bgm_M486_juke","bgm_M486","178"
"2:29","故事劇情Boss戰\n\n時間 / 02:29\n作曲 / 塚越廉\n編曲 / 塚越廉","0:00","暑假作業","bgm_M489_juke","bgm_M489","179"
"1:28","角色歌曲\n\n時間 / 01:28\n歌　 / 惠理子（橋本ちなみ）\n作詞 / 夕野ヨシミ（IOSYS）\n作曲 / ARM（IOSYS）\n編曲 / ARM（IOSYS）","0:46","Only Only You","bgm_M495","bgm_M495","180"
"1:09","故事劇情主題曲\n-｢Just a Moment！｣編曲-\n\n時間 / 01:09\n作曲 / 山口朗彥\n編曲 / 關根修平（Cygames）","0:00","慈樂之音的夏日演唱會　Just a moment！","bgm_M496_juke","bgm_M496","181"
"1:30","故事劇情Boss戰\n\n時間 / 01:30\n作曲 / 武田城以\n編曲 / 坪田修平（TRYTONELABO）","0:00","女王歌唱水母","bgm_M499_juke","bgm_M499","182"
"1:39","角色歌曲\n\n時間 / 01:39\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戶衣吹）\n作詞 / 野村イクミ（Cygames）\n作曲 / 山口朗彥\n編曲 / 山口朗彥","0:56","Just a Moment！","bgm_M518","bgm_M518","183"
"1:55","角色歌曲\n-「Shining Future」-\n\n時間 / 01:55\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戶衣吹）\n作詞 / 莊野ジュリ\n作曲 / 武田城以\n編曲 / 坪田修平（TRYTONELABO）","0:53","Shining Future（Battle Arrange Ver.）","bgm_M519","bgm_M519","184"
"1:55","故事劇情主題曲\n-｢Narcistration♡｣編曲-\n\n時間 / 01:55\n作曲 / 錦織孝宏\n編曲 / 中村博","0:00","大江戶的非法病歷　Dr.深月的診療室","bgm_M508_juke","bgm_M508","185"
"1:44","故事劇情頭目戰\n\n時間 / 01:44\n作曲 / 松尾早人\n編曲 / 松尾早人","0:00","基古魯博士","bgm_M511_juke","bgm_M511","186"
"1:32","角色歌曲\n\n時間 / 01:32\n歌　 / 雪（大空直美）\n作詞 / Manami（TRYTONELABO）\n作曲 / 錦織孝宏\n編曲 / 錦織孝宏","1:02","Narcistration♡","bgm_M524","bgm_M524","187"
"1:00","軍團之戰\n\n時間 / 01:00\n作曲 / 長門千晴（Cygames）\n編曲 / 田山里奈","0:00","軍團之戰","bgm_M501_juke","bgm_M501","188"
"2:19","軍團之戰頭目戰\n\n時間 / 02:19\n作曲 / 中川峻彰、伊禮完（Cygames）\n　　　長門千晴（Cygames）\n編曲 / 中川峻彰","0:00","VS憤怒軍團　與阿澤爾德的戰鬥","bgm_M504_juke","bgm_M504","189"
"1:23","軍團之戰頭目戰\n\n時間 / 01:23\n作曲 / 塚越廉、伊禮完（Cygames）\n　　　長門千晴（Cygames）\n編曲 / 塚越廉","0:00","VS憤怒軍團　與卡里莎的戰鬥","bgm_M502_juke","bgm_M502","190"
"2:48","軍團之戰頭目戰\n\n時間 / 02:48\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","0:00","VS憤怒軍團　與贊恩的戰鬥","bgm_M506_juke","bgm_M506","191"
"1:39","軍團之戰頭目戰\n\n時間 / 01:39\n作曲 / 伊禮完（Cygames）、長門千晴（Cygames）\n　　　関根修平（Cygames）\n編曲 / 関根修平（Cygames）","0:00","VS憤怒軍團　與美空的戰鬥","bgm_M505_juke","bgm_M505","192"
"1:20","軍團之戰頭目戰\n\n時間 / 01:20\n作曲 / 伊禮完（Cygames）、長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","0:00","VS憤怒軍團　與蘭法的戰鬥","bgm_M503_juke","bgm_M503","193"
"1:16","故事劇情主題曲\n-｢Halloween Monster Jam ！！！｣編曲-\n\n時間 / 01:16\n作曲 / 中村早織（Cygames）、長谷部翔（Cygames）\n編曲 / 下智子","0:00","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","bgm_M520_juke","bgm_M520","194"
"1:53","故事劇情頭目戰\n\n時間 / 01:53\n作曲 / 塚越廉\n編曲 / 塚越廉","0:00","哀暴小棉花糖","bgm_M523_juke","bgm_M523","195"
"1:34","角色歌曲\n\n時間 / 01:34\n歌　 / 香織（高森奈津美）\n　　　鈴奈（上坂すみれ）\n　　　妮諾（佐藤聡美）\n作詞 / 椎名宇伊（Cygames）\n作曲 / 中村早織（Cygames）、長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","0:54","Halloween Monster Jam ！！！","bgm_M525","bgm_M525","196"
"0:58","故事劇情主題曲\n-｢GREEDY LOVE｣編曲-\n\n時間 / 00:58\n作曲 / 設楽哲也\n編曲 / 長谷部翔（Cygames）","0:00","魔法少女外傳　黑暗魔法★三人組！","bgm_M527_juke","bgm_M527","197"
"2:24","故事劇情頭目戰\n\n時間 / 02:24\n作曲 / 中村博\n編曲 / 中村博","0:00","反逆獸‧三重","bgm_M529_juke","bgm_M529","198"
"1:36","角色歌曲\n\n時間 / 01:36\n歌　 / 伊緒（伊藤静）\n　　　靜流（生天目仁美）\n　　　空花（長妻樹里）\n作詞 / ミズノゲンキ\n作曲 / 設楽哲也\n編曲 / 設楽哲也","1:05","GREEDY LOVE","bgm_M535","bgm_M535","199"
"1:13","故事劇情主題曲\n-｢布丁‧聖‧代‧聖誕節來的！｣編曲-\n\n時間 / 01:13\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 中村早織（Cygames）","0:00","聖誕布丁快樂！　飛舞的少女與飽含真心的點心","bgm_M536_juke","bgm_M536","200"
"1:56","故事劇情Boss戰\n\n時間 / 01:56\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","0:00","孤伶伶的聖誕夜妖精","bgm_M539_juke","bgm_M539","201"
"2:05","小遊戲\n-｢布丁‧聖‧代‧聖誕節來的！｣編曲-\n\n時間 / 02:05\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 關根修平（Cygames）","0:00","宮子廚房　通往究極之路","bgm_M540_juke","bgm_M540","202"
"1:37","角色歌曲\n\n時間 / 01:37\n演唱 / 宮子（雨宮天）\n作詞 / 山本真央樹（TRYTONELABO）\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 坪田修平（TRYTONELABO）","0:57","布丁‧聖‧代‧聖誕節來的！","bgm_M550","bgm_M550","203"
"1:04","故事劇情主題曲\n-「Ice Wings」編曲-\n\n時間 / 01:04\n作曲 /AJURIKA\n編曲 / 畑田浩孝（Cygames）","0:00","新春美食回憶　雪菲的跑腿大作戰！","bgm_M543_juke","bgm_M543","204"
"1:59","故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 塚越廉\n編曲 / 塚越廉","0:00","邪牛神哞猛","bgm_M546_juke","bgm_M546","205"
"1:36","角色歌曲\n\n時間 / 01:36\n歌　 / 雪菲（近藤玲奈）\n作詞 / AJURIKA\n作曲 / AJURIKA\n編曲 / AJURIKA","1:05","Ice Wings","bgm_M551","bgm_M551","206"
"1:25","故事劇情主題曲\n-｢Asymmetric World｣編曲-\n\n時間 / 01:25\n作曲 / 伊藤翼\n編曲 / 關根修平（Cygames）","0:00","尋找線索","bgm_M552_juke","bgm_M552","207"
"1:10","故事劇情主題曲\n-｢Asymmetric World｣編曲-\n\n時間 / 01:10\n作曲 / 伊藤翼\n編曲 / 中町友洋","0:00","到大家所度過的世界","bgm_M553_juke","bgm_M553","208"
"2:08","故事劇情Boss戰\n\n時間 / 02:08\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","0:00","超載力量","bgm_M559_juke","bgm_M559","209"
"1:35","角色歌曲\n\n時間 / 01:35\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　凱留（立花理香）\n作詞 / 瀨名航\n作曲 / 伊藤翼\n編曲 / 伊藤翼","0:46","Asymmetric World","bgm_M572","bgm_M572","210"
"3:27","故事劇情迷你內容\n-｢Asymmetric World｣編曲-\n\n時間 / 03:27\n作曲 / 伊藤翼\n編曲 / 中川峻彰","0:00","大家的情感","bgm_M558_juke","bgm_M558","211"
"1:43","故事劇情主題曲\n-「聽得見音樂劇嗎？」編曲-\n\n時間 / 01:43\n作曲 / 北川勝利（ROUND TABLE）\n編曲 / 下智子","0:00","Sweet Tiny Stage！ 新進女演員與小小淑女","bgm_M565_juke","bgm_M565","212"
"1:47","故事劇情Boss戰\n\n時間 / 01:47\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","0:00","仇鼠‧怒髮衝冠的啾二","bgm_M568_juke","bgm_M568","213"
"1:02","小遊戲\n-「Mirage Game」編曲-\n\n時間 / 01:02\n作曲 / 田中公平\n編曲 / 東大路憲太","0:00","Happy Anniv.特別版 蘭德索爾猜謎連結！","bgm_M548_Top_juke","bgm_M548","214"
"1:49","小遊戲\n-「Mirage Game」編曲-\n\n時間 / 01:49\n作曲 / 田中公平\n編曲 / 中村博","0:00","Thinking Time！","bgm_M569_juke","bgm_M569","215"
"1:27","角色歌曲\n\n時間 / 01:27\n演唱　 / 胡桃（植田佳奈）\n作詞 / 藤村鼓乃美、北川勝利（ROUND TABLE）\n作曲 / 北川勝利（ROUND TABLE）\n編曲 / 北川勝利（ROUND TABLE）","0:55","聽得見音樂劇嗎？","bgm_M573","bgm_M573","216"
"1:33","角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n　　　雪菲（近藤玲奈）\n作詞 / 磯谷佳江\n作曲 / 中土智博\n編曲 / 中土智博","0:58","Crossing Truth","bgm_M581","bgm_M581","217"
"1:04","故事劇情主題曲\n-「Secret Longing」編曲-\n\n時間 / 01:04\n作曲 / 河合泰志（Arte Refact）\n編曲 / 長谷部翔（Cygames）","0:00","交出寶物！透明怪盜雙人組","bgm_M574_juke","bgm_M574","218"
"1:43","故事劇情Boss戰\n\n時間 / 01:43\n作曲 / 中村博\n編曲 / 中村博","0:00","貪婪暴君‧賭場王","bgm_M577_juke","bgm_M577","219"
"1:31","角色歌曲\n\n時間 / 01:31\n演唱　 / 步未（大関英里）\n作詞 / 真崎エリカ\n作曲 / 河合泰志（Arte Refact）\n編曲 / 河合泰志（Arte Refact）","0:55","Secret Longing","bgm_M592","bgm_M592","220"
"1:36","故事劇情主題曲\n-「無敵海盜」編曲-\n\n時間 / 01:36\n作曲 / 鹽原大貴\n編曲 / 下智子","0:00"," Episode of Pirate　海盜島上被詛咒的遺寶","bgm_M582_juke","bgm_M582","221"
"1:53","故事劇情Boss戰\n\n時間 / 01:53\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","0:00","受解放的寶藏守護者","bgm_M585_juke","bgm_M585","222"
"1:30","角色歌曲\n\n時間 / 01:30\n演唱　 / 杏奈（高野麻美）\n　　　忍（大坪由佳）\n　　　霞（水瀨いのり）\n作詞 / 月丘りあ子\n作曲 / 鹽原大貴\n編曲 / 鹽原大貴","0:47","無敵海盜","bgm_M593","bgm_M593","223"
"1:07","主線冒險\n\n時間 / 01:07\n作曲 / 中村博\n編曲 / 中村博","0:00","莊嚴的熱沙","bgm_M571_juke","bgm_M571","224"
"1:26","故事劇情主題曲\n-｢SAN！SHINE PARTY｣編曲-\n\n時間 / 01:26\n作曲 / no_my\n編曲 / 關根修平（Cygames）","0:00","Enjoy＆Refresh！　天差地遠的女孩露營","bgm_M595_juke","bgm_M595","225"
"1:59","故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","0:00","阿斯特賴亞牛肝菌","bgm_M598_juke","bgm_M598","226"
"1:34","角色歌曲\n\n時間 / 01:34\n演唱　 / 碧（花澤香菜）\n　　　優花梨（今井麻美）\n　　　純（川澄綾子）\n作詞 / no_my\n作曲 / no_my\n編曲 / 青柳諒","0:51","SAN！SHINE PARTY","bgm_M594","bgm_M594","227"
"1:18","主線冒險\n\n時間 / 01:18\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","0:00","出發，前往靈妙的森林深處","bgm_M599A_juke","bgm_M599A","228"
"1:14","故事劇情主題曲\n-「Secret Star」編曲-\n\n時間 / 01:14\n作曲 / PandaBoY\n編曲 / 畑田浩孝（Cygames）","0:00","破曉之星的夏日遊戲　於夏海閃耀的三份心意","bgm_M601_juke","bgm_M601","229"
"2:31","故事劇情Boss戰\n\n時間 / 02:31\n作曲 / 中川峻彰\n編曲 / 中川峻彰","0:00","海將海馬指揮官","bgm_M604_juke","bgm_M604","230"
"1:30","角色歌曲\n\n時間 / 01:30\n演唱 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / PandaBoY\n作曲 / PandaBoY\n編曲 / PandaBoY","0:43","Secret Star","bgm_M606","bgm_M606","231"
"1:42","小遊戲\n-｢Secret Star｣編曲-\n\n時間 / 01:42\n作曲 / PandaBoY\n編曲 / 関根修平（Cygames）","0:00","飛奔吧常夏！極限沙灘搶旗","bgm_M605_juke","bgm_M605","232"
"1:08","故事劇情主題曲\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 01:08\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","0:00","小小夏日回憶錄　在海邊發現的小小幸福","bgm_M608_juke","bgm_M608","233"
"3:10","故事劇情Boss戰\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 03:10\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 市橋卓也（Cygames）","0:00","月光之門","bgm_M611_juke","bgm_M611","234"
"1:31","角色歌曲\n\n時間 / 01:31\n演唱 / 鏡華（小倉唯）\n　　　禊(諸星すみれ)\n　　　美美（日高里菜）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","0:48","滿心期待SUMMER TIME！","bgm_M607","bgm_M607","235"
