191a8995c03f89382af7276341c586d8302a1298d27a3e2690201b8aea4c4f91,8b9feb42c5f4e2f682505b4afe1264a010736b3d6655422dd5acff55283afa9f,493e36e6b12842038df30256122abb3a30a8d7cad9f776ec4344aef9903ad97f,7e970fb76fa240ed2da9e196c028319185fa0495d837e0ad891798aa7d08b42d,d78d13baac055cbd2618d8e32d6dfa50effe5462276b11f9ec79bb47836c339d,3a897e4c6bf961cd24701ba5f84d70871c6c7c7bd97a0df7f585dcf4c504ec4d,b4b869cc190ff56372ae441e67d37f01330f86db48de22acdc0cdb3241215dce,d4bc27f843aa1abc5b45e024f00afa5714cacb27b31c4c7d58c168a1287484b3,60a6c44509dfb69c586fc277ed8e24e9ffb8b610a5f9c367525832a3f0f870f2,d94e5b2fa87b126aae1b37e966c43ba8c79bd7f72ed8b133f81f913a7d726eae,a68b4dcbd46eef2f9f4a582782a883540ad0cf0d817a71eb8c40a685623294d6
"0","100","03_uek_cmn_idol_def_N","102831","36","1","1360002","1","10","1.3","10"
"","","","","36","1","1360003","93","","",""
"0","0","","03_uek_36_suzume","36","102531","1360004","3","1","0","03_uek_36_suzume_loop"
"0","0","","03_uek_36_saren","36","102831","1360005","3","1","0","03_uek_36_saren_loop"
"","","","","36","0","1360006","91","","",""
"","10","","呀！？要要要、\n要掉下去了～！\n大小姐～！！？？","36","102531","1360007","11","0","","0"
"","","","","36","0","1360008","91","","",""
"","10","","鈴莓，妳沒事吧！？\n這裡很高的，\n妳要小心哦。","36","102831","1360009","11","0","","0"
"0","100","01_uek_cmn_idol_def_N","112531","37","1","1370001","1","-22","1.3","-118"
"0","100","01_uek_cmn_idol_def_N","112431","37","1","1370002","1","0","1.3","0"
"1","100","01_uek_27_tamaki_loop","112631","37","1","1370003","1","0","1.3","179"
"","0","","01_uek_27_tamaki_loop","37","112631","1370004","3","0","",""
"","","","","37","0","1370005","91","","",""
"","0","","01_uek_27_tamaki_loop","37","112631","1370006","3","0","",""
"","","","","37","0","1370007","91","","",""
"","0","","01_uek_27_tamaki_loop","37","112631","1370008","3","0","",""
"","","","","37","0","1370009","91","","",""
"","1","","01_uek_cmn_pose06","37","112631","1370010","3","0","0.5",""
"","10","","啊！島村村、\n澀凜凜，妳們快看！\n星星好漂亮喔！","37","112631","1370011","11","0","","0"
"","","","","37","0","1370012","91","","",""
"","0","","01_uek_35_rei","37","112531","1370013","3","1","","01_uek_35_rei_loop"
"","10","","……成為頂尖偶像時\n所能夠見到的光景\n就是這種感覺嗎？","37","112531","1370014","11","0","","0"
"","","","","37","0","1370015","91","","",""
"","1","","01_uek_cmn_idol_def_N","37","112631","1370016","3","0","0.2",""
"","0","","01_uek_37_uduki","37","112431","1370017","3","1","","01_uek_16_uduki_loop"
"","10","","希望我們也能夠\n像那些星星一樣\n閃閃發光呢！","37","112431","1370018","11","0","","0"
"","","","","37","0","1370019","91","","",""
"","0","","14","101","101","11010001","31","1","1","30"
"","0","","11","111","111","11110001","31","1","1","150"
"","0","","12","112","112","11120001","31","1","1","150"
"","0","","13","113","113","11130001","31","1","1","125"
