7571d34838de0096a6f33f2c41451774af457ddd868bba0ac70d4dbcfee3ff50,49edb1f913d5049811faccff4773ae2d9166fa6144f354ca6c4de93e7a22a171,e9fbb0a0164f2a9ee4b3de496c6a0faa5563e51f66c790ff539c5ef5db31ba39,7db687addb59c54df862e333f944c9ab3f5aa783866178e53bc3ceb6bca5b998,677343f937eae4333f5912c0095ddbf89723bbb3c386ed2f310f1577fb27db5a,9776e3500ef94ee99d4bf0304de57609e4f31169e5eba118de964aa952bd2c3f,000f98018215620ec70640a8ca7d11b961f2ae3bc0aea9cbca9dca76845d69ee,6f4852efbece8e27bddea277afb821838e89b174a00950b683ab53cba1974fd1,0543416e65ca6ead7ad04c067e2ad4fce6925646768f4f569d9beab5afc7ab15,2098cc11d27f9783f7a4e49184a700f69ae23c4ba16c6709437831009fa44c88,0a01e479d196b001ad958237398943050ff783b5d0bf6e4e401b83e0599bd60e
"0","1","102831","03_uek_cmn_idol_def_N","36","10","10","1360002","1.3","100","1"
"","93","","","36","","","1360003","","","1"
"0","3","03_uek_36_suzume","","36","1","03_uek_36_suzume_loop","1360004","0","0","102531"
"0","3","03_uek_36_saren","","36","1","03_uek_36_saren_loop","1360005","0","0","102831"
"","91","","","36","","","1360006","","","0"
"","11","呀！？要要要、\n要掉下去了～！\n大小姐～！！？？","","36","0","0","1360007","","10","102531"
"","91","","","36","","","1360008","","","0"
"","11","鈴莓，妳沒事吧！？\n這裡很高的，\n妳要小心哦。","","36","0","0","1360009","","10","102831"
"0","1","112531","01_uek_cmn_idol_def_N","37","-22","-118","1370001","1.3","100","1"
"0","1","112431","01_uek_cmn_idol_def_N","37","0","0","1370002","1.3","100","1"
"1","1","112631","01_uek_27_tamaki_loop","37","0","179","1370003","1.3","100","1"
"","3","01_uek_27_tamaki_loop","","37","0","","1370004","","0","112631"
"","91","","","37","","","1370005","","","0"
"","3","01_uek_27_tamaki_loop","","37","0","","1370006","","0","112631"
"","91","","","37","","","1370007","","","0"
"","3","01_uek_27_tamaki_loop","","37","0","","1370008","","0","112631"
"","91","","","37","","","1370009","","","0"
"","3","01_uek_cmn_pose06","","37","0","","1370010","0.5","1","112631"
"","11","啊！島村村、\n澀凜凜，妳們快看！\n星星好漂亮喔！","","37","0","0","1370011","","10","112631"
"","91","","","37","","","1370012","","","0"
"","3","01_uek_35_rei","","37","1","01_uek_35_rei_loop","1370013","","0","112531"
"","11","……成為頂尖偶像時\n所能夠見到的光景\n就是這種感覺嗎？","","37","0","0","1370014","","10","112531"
"","91","","","37","","","1370015","","","0"
"","3","01_uek_cmn_idol_def_N","","37","0","","1370016","0.2","1","112631"
"","3","01_uek_37_uduki","","37","1","01_uek_16_uduki_loop","1370017","","0","112431"
"","11","希望我們也能夠\n像那些星星一樣\n閃閃發光呢！","","37","0","0","1370018","","10","112431"
"","91","","","37","","","1370019","","","0"
"","31","14","","101","1","30","11010001","1","0","101"
"","31","11","","111","1","150","11110001","1","0","111"
"","31","12","","112","1","150","11120001","1","0","112"
"","31","13","","113","1","125","11130001","1","0","113"
