5c4ed447ff9f3c60bb5b7b25c4bfabbf9d946cfa17591c757c652a18a91fb2fa,0662a582dc50d9e8fda5f28f6dc0cc51271e85e595eb17eb9615a1f6b861b3a7,c56a89e6205e161408a8e2a4ce4462abdcdf91ae3ef3df168da083e66aad3661,e9466875c63628382e8d191936bc39441081579e17320a308d44c066fa0bbb11,a614914a5f0c2eda7304575369350ed9cbe5563c452c7cdafbf738c04733bea6,1e9fa946e969e2b1ab68f5b1fd086a772da985379313f0941f21771d6d5d964b,abe52b1302e9d4cd8a2e8026f34246c71160855919debe99a567ca2054c0f9b2,c3b5f63ce94459660a9ce551102485ca28d75e42197a94de911b49ae22bb0543,2f255e0139ad8c5945827c6ec86d0cf939c549f9fcb862de7a5269240702d742,b11f99489845247d74169319775d65d973c32405d5ceb1de6141097d54279229,71164610632079e7a6727b3b4324fcd77d2710b033c236a8a43e74839935f00a
"1360002","36","0","1.3","102831","100","1","10","03_uek_cmn_idol_def_N","1","10"
"1360003","36","","","","","1","","","93",""
"1360004","36","0","0","03_uek_36_suzume","0","102531","1","","3","03_uek_36_suzume_loop"
"1360005","36","0","0","03_uek_36_saren","0","102831","1","","3","03_uek_36_saren_loop"
"1360006","36","","","","","0","","","91",""
"1360007","36","","","呀！？要要要、\n要掉下去了～！\n大小姐～！！？？","10","102531","0","","11","0"
"1360008","36","","","","","0","","","91",""
"1360009","36","","","鈴莓，妳沒事吧！？\n這裡很高的，\n妳要小心哦。","10","102831","0","","11","0"
"1370001","37","0","1.3","112531","100","1","-22","01_uek_cmn_idol_def_N","1","-118"
"1370002","37","0","1.3","112431","100","1","0","01_uek_cmn_idol_def_N","1","0"
"1370003","37","1","1.3","112631","100","1","0","01_uek_27_tamaki_loop","1","179"
"1370004","37","","","01_uek_27_tamaki_loop","0","112631","0","","3",""
"1370005","37","","","","","0","","","91",""
"1370006","37","","","01_uek_27_tamaki_loop","0","112631","0","","3",""
"1370007","37","","","","","0","","","91",""
"1370008","37","","","01_uek_27_tamaki_loop","0","112631","0","","3",""
"1370009","37","","","","","0","","","91",""
"1370010","37","","0.5","01_uek_cmn_pose06","1","112631","0","","3",""
"1370011","37","","","啊！島村村、\n澀凜凜，妳們快看！\n星星好漂亮喔！","10","112631","0","","11","0"
"1370012","37","","","","","0","","","91",""
"1370013","37","","","01_uek_35_rei","0","112531","1","","3","01_uek_35_rei_loop"
"1370014","37","","","……成為頂尖偶像時\n所能夠見到的光景\n就是這種感覺嗎？","10","112531","0","","11","0"
"1370015","37","","","","","0","","","91",""
"1370016","37","","0.2","01_uek_cmn_idol_def_N","1","112631","0","","3",""
"1370017","37","","","01_uek_37_uduki","0","112431","1","","3","01_uek_16_uduki_loop"
"1370018","37","","","希望我們也能夠\n像那些星星一樣\n閃閃發光呢！","10","112431","0","","11","0"
"1370019","37","","","","","0","","","91",""
"11010001","101","","1","14","0","101","1","","31","30"
"11110001","111","","1","11","0","111","1","","31","150"
"11120001","112","","1","12","0","112","1","","31","150"
"11130001","113","","1","13","0","113","1","","31","125"
