570a5449f7656f9de61d40d8e031a42fc8439434a2fab10de6286a7f331367df,34f59ba2443b74e1cd347f830d03992d7e9b75ed078ae97774259702c0fd7f25,30fb230ae2eb52dbcd86ba747bc6a4344a096c23e0ba863d771b0907c10d95b5,1cafba1bade352eb67ee5c493cecb92d3dde2f1fec0a1fbcd3d034f9ea161ebf,f5f13fb13765b00b67f53628ecc8b2ad66fb6427d8164b003e357a288364c15b,e9dc8b1c41fef417bcaaa803da214529a9d4fcf63127d02d0b14a6fbfbffbb6f,cf745eecc34b0256fd582101ef271fede6bffbbd6a11d9fe01b748191d6377ff,315619d022172f1b85bdb95f4d0a56b5f3a15925cc4274a535ca5a919adcc021,0700656e8c1cc1cd9752c1648490cf07862f69e27b8a553ed63bb74fe751c7b4,2d317553df96f0f216488e026a2c9cd82dd652f031921a8dc0fde8fb2f6da9b2,49f8004a28ad72245ca596945785726527c8937a35f5b2a9325c70eedf2dca01
"0","travel_exdrama_r_104_fishingBig","1","","1083","0","0","travel_exdrama_r_104_fishingIdle","1","3","1010830004"
"","1","10403","","1083","","","","","32","1010830005"
"","1","10001","","1083","","","","","32","1010830006"
"","0","3","","1083","","","","","93","1010830007"
"","0","10403","","1083","","","","","32","1010830008"
"","0","10001","","1083","","","","","32","1010830009"
"","1","1000002","","1084","","","","","4","1010840001"
"0","travel_exdrama_r_104_fishing_finish","1000001","","1084","0","0","","0","3","1010840002"
"0","travel_exdrama_r_finish_A_front","1000002","","1084","0","0","","0","3","1010840003"
"0","travel_exdrama_r_104_fishing_finish","1","","1084","0","0.2","","0","3","1010840004"
