2b8fa1199f129274f4b4908f2c1af76f26b9f0ecd889fb28c650aae192ebb6c5,56f4e89c87b7ceb9cd226c5b238fe2b8461ea8d23998b60b4a6ef24276a62a9f,f7759ae1b1c23881e8dc214793032d543d12bae9d88104e2dbefdc2a9e28b187,3989c9d94d43281311feedfd7182d6b53c0e76d998a900abc05f97f5f64950f7,59f8455fd911680630358b6fe9dd92467b22f8afc4013215d2693b0c79e70a1c,7104ad22ee380e258fe4411d5cd037fe9db532875838bdf9e5707a7f3bef91a3,86235e3cd26be3b79b0cc89f09103af433bade1cb121de94715aceaf18133c21,b4898c04a91228e73aeaa16ce58c44b40330210b3a769b662532ecad7d24e76b,0199b7e32d5e7e6825e23913f7fa304e20dc5ffa1b76a53c257e092abbb3121f,7342db49a27a88885b2f85d0663e11ed70a2e6d75675e5a61901af08ce6d21f2,b26ec7039c6af5769b5eff45c298ea093944b64ff77d9972521e93aeba8801c7
"travel_exdrama_r_104_fishingBig","0","0","1","1083","3","","1","1010830004","travel_exdrama_r_104_fishingIdle","0"
"1","","","10403","1083","32","","","1010830005","",""
"1","","","10001","1083","32","","","1010830006","",""
"0","","","3","1083","93","","","1010830007","",""
"0","","","10403","1083","32","","","1010830008","",""
"0","","","10001","1083","32","","","1010830009","",""
"1","","","1000002","1084","4","","","1010840001","",""
"travel_exdrama_r_104_fishing_finish","0","0","1000001","1084","3","","0","1010840002","","0"
"travel_exdrama_r_finish_A_front","0","0","1000002","1084","3","","0","1010840003","","0"
"travel_exdrama_r_104_fishing_finish","0.2","0","1","1084","3","","0","1010840004","","0"
